rank,title,score,vote_count,release_date,regions,types,actors,url,cover_url
55,尼罗河上的惨案,8.6,190925,1978-09-29,英国,"剧情,犯罪,悬疑","['彼得·乌斯蒂诺夫', '简·伯金', '洛伊丝·奇利斯', '贝蒂·戴维斯', '米娅·法罗', '乔·芬奇', '奥丽维娅·赫西', 'I·S·乔哈尔', '乔治·肯尼迪', '安吉拉·兰斯伯瑞']",https://movie.douban.com/subject/1302100/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2366278130.jpg
56,东方快车谋杀案,8.6,181357,1974-11-24,英国,"剧情,犯罪,悬疑","['阿尔伯特·芬尼', '劳伦·白考尔', '马丁·鲍尔萨姆', '英格丽·褒曼', '杰奎琳·比塞特', '让-皮埃尔·卡塞尔', '肖恩·康纳利', '约翰·吉尔古德', '温蒂·希勒', '安东尼·博金斯']",https://movie.douban.com/subject/1292699/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1948648367.jpg
57,名侦探柯南：计时引爆摩天楼,8.6,159743,1997-04-19,日本,"动画,悬疑","['高山南', '山口胜平', '山崎和佳奈', '神谷明', '盐泽兼人', '绪方贤一', '茶风林', '岩居由希子', '高木涉', '大谷育江']",https://movie.douban.com/subject/1439579/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2926763729.jpg
58,恐怖游轮,8.5,983622,2009-10-16,"英国,澳大利亚","科幻,悬疑,奇幻,惊悚","['梅利莎·乔治', '迈克尔·多曼', '利亚姆·海姆斯沃斯', '瑞秋·卡帕尼', '亨利·尼克松', '艾玛·朗', '约书亚·麦基弗', '杰克·泰勒', '布莱恩·普罗贝茨']",https://movie.douban.com/subject/3011051/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462470694.jpg
59,神探,8.5,343654,2008-02-22,中国香港,"动作,犯罪,悬疑,惊悚","['刘青云', '安志杰', '林家栋', '林熙蕾', '李国麟', '李彩宁', '陈慧珊', '林雪', '张兆辉', '刘锦玲']",https://movie.douban.com/subject/2027938/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p1349162079.jpg
60,小姐,8.5,569547,2016-05-14,韩国,"剧情,悬疑,情色,同性","['金敏喜', '金泰梨', '河正宇', '赵震雄', '文素利', '金海淑', '李龙女', '李东辉', '赵恩亨', '丁夏潭']",https://movie.douban.com/subject/25977027/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2355555424.jpg
61,网络谜踪,8.5,562260,2018-12-14,"美国,俄罗斯","剧情,犯罪,悬疑,惊悚","['约翰·赵', '米切尔·拉', '黛博拉·梅辛', '约瑟夫·李', '萨拉·米博·孙', '亚历克丝·杰恩·高', '刘玥辰', '刘卡雅', '多米尼克·霍夫曼', '西尔维亚·米纳西安']",https://movie.douban.com/subject/27615441/,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2542848758.jpg
62,心理游戏,8.8,49768,2004-08-07,日本,"动画,冒险,喜剧,悬疑","['今田耕司', '藤井隆', '山口智充', '前田沙耶香', '西凛太郎', '布鲁斯·洛克']",https://movie.douban.com/subject/1477916/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453762724.jpg
63,月球,8.5,293760,2009-01-23,"英国,美国","剧情,科幻,悬疑","['山姆·洛克威尔', '凯文·史派西', '多米妮克·麦克艾丽戈特', '卡雅·斯考达里奥', '王汉斌', '马特·贝里', '马尔科姆·斯图尔特', '罗宾·查克', '玛丽·泰勒·摩尔']",https://movie.douban.com/subject/3073124/,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p449399746.jpg
64,一级恐惧,8.5,260174,1996-04-03,美国,"剧情,犯罪,悬疑","['理查·基尔', '爱德华·诺顿', '劳拉·琳妮', '约翰·马奥尼', '阿尔法·伍达德', '弗兰西斯·麦克多蒙德', '特瑞·欧奎恩', '安德鲁·布劳尔', '斯蒂文·鲍尔', '乔·斯帕诺']",https://movie.douban.com/subject/1296217/,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1150407027.jpg
